neuro_author_s,title,journal,doi,pmid,date_not_actual,is_open_access,oa_type,oa_version,url_to_oa_version
Danilo Bzdok,Population variation in social brain morphology: links to socioeconomic status and health disparity,Social Neuroscience,10.1080/17470919.2022.2083230,35658811,2022-06-06,False,closed,none,none
Andrea L Benedet; Tharick A Pascoal; Mira Chamoun; Pedro Rosa-Neto,Quantification of SNAP-25 with mass spectrometry and Simoa: a method comparison in Alzheimer’s disease,Alzheimer's Research &amp; Therapy,10.1186/s13195-022-01021-8,35659284,2022-06-04,True,gold,publishedVersion,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-022-01021-8
Allison A Dilliott,Targeted copy number variant identification across the neurodegenerative disease spectrum,Molecular Genetics &amp; Genomic Medicine,10.1002/mgg3.1986,35666053,2022-06-03,True,gold,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mgg3.1986
Sue-Jin Lin; Tobias R Baumeister; Christophe Lenglos; Yasser Iturria-Medina,Neuroimaging signatures predicting motor improvement to focused ultrasound subthalamotomy in Parkinson’s disease,npj Parkinson's Disease,10.1038/s41531-022-00332-9,35665753,2022-06-03,True,gold,publishedVersion,https://www.nature.com/articles/s41531-022-00332-9.pdf
Mehrdad A Estiar; Ziv Gan-Or; Guy A Rouleau; Rami Massie,RABENOSYN separation-of-function mutations uncouple endosomal recycling from lysosomal degradation[comma] causing a distinct Mendelian Disorder,Human Molecular Genetics,10.1093/hmg/ddac120,35652444,2022-06-02,False,closed,none,none
Zhen-Qi Liu; Bertha Vázquez-Rodríguez; R Nathan Spreng; Boris C Bernhardt; Bratislav Misic,Time-resolved structure-function coupling in brain networks,Communications Biology,10.1038/s42003-022-03466-x,35654886,2022-06-02,True,gold,publishedVersion,https://www.nature.com/articles/s42003-022-03466-x.pdf
Andrea Bernasconi; Neda Bernasconi; Boris Bernhardt; Lorenzo Caciagli; Benoit Caldairou; Sara Larivière,Event‐based modelling in temporal lobe epilepsy demonstrates progressive atrophy from cross‐sectional data,Epilepsia,10.1111/epi.17316,35656586,2022-06-02,True,green,publishedVersion,https://discovery.ucl.ac.uk/id/eprint/10150123/1/Altmann_Epilepsia%20-%202022%20-%20Lopez%20-%20Event%E2%80%90based%20modeling%20in%20temporal%20lobe%20epilepsy%20demonstrates%20progressive%20atrophy%20from.pdf
Leonard A Levin,Regenerative and restorative medicine for eye disease,Nature Medicine,10.1038/s41591-022-01862-8,35715505,2022-06-01,False,closed,none,none
Mario Bogdanov; Madeleine Sharp,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson’s patients,Neurobiology of Learning and Memory,10.1016/j.nlm.2022.107652,35724812,2022-06-01,True,green,submittedVersion,https://doi.org/10.1101/2022.02.07.22270623
Imane Frouni; Woojin Kang; Dominique Bédard; Sébastien Belliveau; Cynthia Kwan; Shadi Hadj-Youssef; Élodie Bourgeois-Cayer; Adjia Hamadjida; Philippe Huot,Effect of glycine transporter 1 inhibition with bitopertin on parkinsonism and L-DOPA induced dyskinesia in the 6-OHDA-lesioned rat,European Journal of Pharmacology,10.1016/j.ejphar.2022.175090,35780824,2022-06-01,False,closed,none,none
Katie M Lavigne,Remote group therapies for cognitive health in schizophrenia-spectrum disorders: Feasible[comma] acceptable[comma] engaging,Schizophrenia Research: Cognition,10.1016/j.scog.2021.100230,35242604,2022-06-01,True,gold,publishedVersion,https://doi.org/10.1016/j.scog.2021.100230
Barbara Morquette; Alyson E Fournier,Self-delivering RNAi compounds as therapeutic agents in the central nervous system to enhance axonal regeneration after injury,iScience,10.1016/j.isci.2022.104379,35620420,2022-06-01,True,gold,publishedVersion,http://www.cell.com/article/S2589004222006502/pdf
Chifaou Abdallah,Naming impairments evoked by focal cortical electrical stimulation in the ventral temporal cortex correlate with increased functional connectivity,Neurophysiologie Clinique,10.1016/j.neucli.2022.06.002,35777988,2022-06-01,True,hybrid,publishedVersion,https://doi.org/10.1016/j.neucli.2022.06.002
Ali Khatibi; Shahabeddin Vahdat; Ovidiu Lungu; Julien Doyon,Brain-spinal cord interaction in long-term motor sequence learning in human: An fMRI study,NeuroImage,10.1016/j.neuroimage.2022.119111,35331873,2022-06-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119111
Sylvia Villeneuve,Tau PET Imaging in Neurodegenerative Disorders,Journal of Nuclear Medicine,10.2967/jnumed.121.263196,35649647,2022-06-01,False,closed,none,none
Nguyen-Vi Mohamed; Wei Yi; Meghna Mathur; Carol X Q Chen; Zhipeng You; Narges Abdian; Edward A Fon; Thomas M Durcan,Early predictors of language skills at 3 years of age vary based on diagnostic outcome: A baby siblings research consortium study,Autism Research,10.1016/j.ymeth.2022.03.011,35331912,2022-06-01,DOI not found by Unpaywall., , , 
Mayada Elsabbagh,Early predictors of language skills at 3 years of age vary based on diagnostic outcome: A baby siblings research consortium study,Autism Research,10.1002/aur.2760,35652157,2022-06-01,False,closed,none,none
Douglas L Arnold,Siponimod vs placebo in active secondary progressive multiple sclerosis: a post hoc analysis from the phase 3 EXPAND study,Journal of Neurology,10.1007/s00415-022-11166-z,35639197,2022-05-31,True,hybrid,publishedVersion,https://link.springer.com/content/pdf/10.1007/s00415-022-11166-z.pdf
Bratislav Mišić,Null models in network neuroscience,Nature Reviews Neuroscience,10.1038/s41583-022-00601-9,35641793,2022-05-31,False,closed,none,none
Simon Ducharme,Automated Detection of Brain Metastases on <scp>T1</scp> ‐Weighted <scp>MRI</scp> Using a Convolutional Neural Network: Impact of Volume Aware Loss and Sampling Strategy,Journal of Magnetic Resonance Imaging,10.1002/jmri.28274,35624544,2022-05-27,False,closed,none,none
Matthew R Krause; Pedro G Vieira; Christopher C Pack,Brain stimulation competes with ongoing oscillations for control of spike timing in the primate brain,PLOS Biology,10.1371/journal.pbio.3001650,35613140,2022-05-25,True,gold,publishedVersion,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001650&type=printable
Alexander Thiel,Intensity matters: protocol for a randomized controlled trial exercise intervention for individuals with chronic stroke,Trials,10.1186/s13063-022-06359-w,35610659,2022-05-24,True,gold,publishedVersion,https://trialsjournal.biomedcentral.com/track/pdf/10.1186/s13063-022-06359-w
Shady Rahayel; Christina Tremblay; Andrew Vo; Bratislav Misic; Alain Dagher,Brain atrophy in prodromal synucleinopathy is shaped by structural connectivity and gene expression,Brain,10.1093/brain/awac187,35594873,2022-05-20,True,green,submittedVersion,https://doi.org/10.1101/2021.12.27.21268442
Alain Dagher; Danilo Bzdok,Human brain anatomy reflects separable genetic and environmental components of socioeconomic status,Science Advances,10.1126/sciadv.abm2923,35584223,2022-05-20,True,gold,publishedVersion,https://biobank.ctsu.ox.ac.uk/crystal/crystal/docs/brain_mri.pdf
Emile Dimas; Ross D Markello; Alain Dagher; Bratislav Mišić; Danilo Bzdok,Pattern learning reveals brain asymmetry to be linked to socioeconomic status,Cerebral Cortex Communications,10.1093/texcom/tgac020,35702547,2022-05-20,True,gold,publishedVersion,https://academic.oup.com/cercorcomms/article-pdf/3/2/tgac020/44024261/tgac020.pdf
Cynthia Kwan; Philippe Huot,An overview of the active clinical trials for Parkinson’s disease psychosis,Neurodegenerative Disease Management,10.2217/nmt-2022-0020,35592949,2022-05-20,False,closed,none,none
Andrea Soumbasis; Mohamed A Eldeeb; Cornelia E Zorca,DEPhosphorylation TArgeting Chimaera (DEPTAC): Targeting Tau Proteins in Tauopathies,Current Protein &amp; Peptide Science,10.2174/1389203723666220519154229,35598241,2022-05-19,False,closed,none,none
Imane Frouni; Philippe Huot,Glutamate modulation for the treatment of levodopa induced dyskinesia: a brief review of the drugs tested in the clinic,Neurodegenerative Disease Management,10.2217/nmt-2021-0055,35587024,2022-05-19,False,closed,none,none
Ji Zhang,Unbiased proteomic analysis detects painful systemic inflammatory profile in the serum of nerve injured mice,Pain,10.1097/j.pain.0000000000002695,35587992,2022-05-19,True,hybrid,publishedVersion,https://journals.lww.com/pain/Abstract/9900/Unbiased_proteomic_analysis_detects_painful.102.aspx
Pedro Rosa-Neto,Blood phospho-tau in Alzheimer disease: analysis[comma] interpretation[comma] and clinical utility,Nature Reviews Neurology,10.1038/s41582-022-00665-2,35585226,2022-05-18,False,closed,none,none
Edward S Ruthazer,Editorial: Shedding Light on the Nervous System: Progress in Neurophotonics Research,Frontiers in Neural Circuits,10.3389/fncir.2022.901376,35664457,2022-05-17,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fncir.2022.901376/pdf
Guido I Guberman; Alain Ptito; Danilo Bzdok,Multi-tract multi-symptom relationships in pediatric concussion,eLife,10.7554/eLife.70450,35579325,2022-05-17,True,gold,publishedVersion,https://doi.org/10.7554/elife.70450
Giulia Fadda; Douglas L Arnold,Serum MOG-IgG in children meeting multiple sclerosis diagnostic criteria,Multiple Sclerosis Journal,10.1177/13524585221093789,35581944,2022-05-17,True,hybrid,publishedVersion,https://journals.sagepub.com/doi/pdf/10.1177/13524585221093789
Gaston Baslet; Selma Aybek; Simon Ducharme; Mandana Modirrousta; Timothy R Nicholson,Neuropsychiatry’s Role in the Postacute Sequelae of COVID-19: Report From the American Neuropsychiatric Association Committee on Research,The Journal of Neuropsychiatry and Clinical Neurosciences,10.1176/appi.neuropsych.21080209,35578802,2022-05-17,False,closed,none,none
Jean-Baptiste Poline,Recommendations for repositories and scientific gateways from a neuroscience perspective,Scientific Data,10.1038/s41597-022-01334-1,35577825,2022-05-16,True,gold,publishedVersion,https://www.nature.com/articles/s41597-022-01334-1.pdf
Danilo Bzdok,Meta-matching as a simple framework to translate phenotypic predictive models from big to small data,Nature Neuroscience,10.1038/s41593-022-01059-9,35578132,2022-05-16,False,closed,none,none
Mayada Elsabbagh; Afiqah Yusuf; Jinan Zeidan; Julie Scorah,The time has come for living systematic reviews in autism research,Autism Research,10.1002/aur.2739,35570413,2022-05-15,False,closed,none,none
Carolina Makowski,Altered amygdala shape trajectories and emotion recognition in youth at familial high risk of schizophrenia who develop psychosis,Translational Psychiatry,10.1038/s41398-022-01957-3,35562339,2022-05-13,True,gold,publishedVersion,https://www.nature.com/articles/s41398-022-01957-3.pdf
Michael Petrides,Splenial Callosal Disconnection in Right Hemianopic Patients Induces Right Visual-Spatial Neglect,Brain Sciences,10.3390/brainsci12050640,35625026,2022-05-12,True,gold,publishedVersion,https://www.mdpi.com/2076-3425/12/5/640/pdf?version=1652424560
Alain Ptito,Splenial Callosal Disconnection in Right Hemianopic Patients Induces Right Visual-Spatial Neglect,Brain Sciences,10.1016/j.maturitas.2022.04.006,35537241,2022-05-12,DOI not found by Unpaywall., , , 
Jean-Francois Cloutier,Transsynaptic cerebellin 4–neogenin 1 signaling mediates LTP in the mouse dentate gyrus,Proceedings of the National Academy of Sciences,10.1073/pnas.2123421119,35544694,2022-05-11,False,closed,none,none
Aiden Reich,Artificial Neural Network Approach to Competency-Based Training Using a Virtual Reality Neurosurgical Simulation,Operative Neurosurgery,10.1227/ons.0000000000000173,35726927,2022-05-11,False,closed,none,none
Casey Paquola; Bo-Yong Park; Reinder Vos de Wael; Jessica Royer; Boris C Bernhardt,Genetic and phylogenetic uncoupling of structure and function in human transmodal cortex,Nature Communications,10.1038/s41467-022-29886-1,35534454,2022-05-09,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-29886-1.pdf
Kevin Petrecca,Phase III trial of chemoradiotherapy with temozolomide plus nivolumab or placebo for newly diagnosed glioblastoma with methylated <i>MGMT</i> promoter,Neuro-Oncology,10.1093/neuonc/noac116,35511454,2022-05-02,True,hybrid,publishedVersion,https://academic.oup.com/neuro-oncology/advance-article-pdf/doi/10.1093/neuonc/noac116/43927206/noac116.pdf
Emma J MacDougall; Edward A Fon,Structural basis for feedforward control in the PINK1/Parkin pathway,The EMBO Journal,10.15252/embj.2021109460,35491809,2022-05-02,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9194792
Boris C Bernhardt,Gradients in brain organization,NeuroImage,10.1016/j.neuroimage.2022.118987,35151850,2022-05-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.118987
Étienne de Villers-Sidani,Degraded cortical temporal processing in the valproic acid-induced rat model of autism,Neuropharmacology,10.1016/j.neuropharm.2022.109000,35182575,2022-05-01,False,closed,none,none
Robert A Brown; Douglas L Arnold,Progressive retinal changes in pediatric multiple sclerosis,Multiple Sclerosis and Related Disorders,10.1016/j.msard.2022.103761,35349885,2022-05-01,False,closed,none,none
Kazuma Mori,Decoding peak emotional responses to music from computational acoustic and lyrical features,Cognition,10.1016/j.cognition.2021.105010,34998244,2022-05-01,False,closed,none,none
Jorge Bosch-Bayard; Alan C Evans,EEG effective connectivity during the first year of life mirrors brain synaptogenesis[comma] myelination[comma] and early right hemisphere predominance,NeuroImage,10.1016/j.neuroimage.2022.119035,35218932,2022-05-01,True,gold,publishedVersion,https://doi.org/10.1016/j.neuroimage.2022.119035
Mahdieh Tabatabaei; Marie-Noëlle Boivin; Lydiane Gaborieau; Jason Karamchandani; Edward A Fon,Generation of homozygous PRKN[comma] PINK1 and double PINK1/PRKN knockout cell lines from healthy induced pluripotent stem cells using CRISPR/Cas9 editing,Stem Cell Research,10.1016/j.scr.2022.102806,35561458,2022-05-01,True,gold,publishedVersion,https://doi.org/10.1016/j.scr.2022.102806
B Frauscher,Interictal sleep recordings during presurgical evaluation: Bidirectional perspectives on sleep related network functioning,Revue Neurologique,10.1016/j.neurol.2022.03.011,35654611,2022-05-01,False,closed,none,none
Bratislav Misic; Katie M Lavigne,Sex-specific associations in verbal memory brain circuitry in early psychosis,Journal of Psychiatric Research,10.1016/j.jpsychires.2022.05.006,35594601,2022-05-01,False,closed,none,none
Virginie Petel Légaré; Christian J Rampal; Tyler J N Gurberg; Ziyaan A Harji; Xavier Allard-Chamard; Esteban C Rodríguez; Gary A B Armstrong,Development of an endogenously myc-tagged TARDBP (TDP-43) zebrafish model using the CRISPR/Cas9 system and homology directed repair,Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,10.1016/j.cbpb.2022.110756,35580804,2022-05-01,False,closed,none,none
Bennett A Csorba; Matthew R Krause; Christopher C Pack,Long-range cortical synchronization supports abrupt visual learning,Current Biology,10.1016/j.cub.2022.04.029,35523181,2022-05-01,False,closed,none,none
Prokopis C Prokopiou; Marie-Hélène Boudrias; Georgios D Mitsis,Modeling the Hemodynamic Response Function Using EEG-fMRI Data During Eyes-Open Resting-State Conditions and Motor Task Execution,Brain Topography,10.1007/s10548-022-00898-w,35488957,2022-04-30,False,closed,none,none
Dan Spiegelman; Guy Rouleau,The Genetic and Molecular Analyses of RAD51C and RAD51D Identifies Rare Variants Implicated in Hereditary Ovarian Cancer from a Genetically Unique Population,Cancers,10.3390/cancers14092251,35565380,2022-04-30,True,gold,publishedVersion,https://www.mdpi.com/2072-6694/14/9/2251/pdf?version=1652235679
Birgit Frauscher,Sleep and epilepsy: A snapshot of knowledge and future research lines,Journal of Sleep Research,10.1111/jsr.13622,35487880,2022-04-29,True,hybrid,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jsr.13622
Oualid Benkarim; Casey Paquola; Bo-Yong Park; Valeria Kebets; Reinder Vos de Wael; Jean-Baptiste Poline; Boris C Bernhardt; Danilo Bzdok,Population heterogeneity in clinical cohorts affects the predictive accuracy of brain imaging,PLOS Biology,10.1371/journal.pbio.3001627,35486643,2022-04-29,True,gold,publishedVersion,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.3001627&type=printable
Recai Yilmaz; Alexander Winkler-Schwartz; Nykan Mirchi; Aiden Reich; Sommer Christie; Dan Huy Tran; Nicole Ledwos; Ali M Fazlollahi; Carlo Santaguida; Rolando Del Maestro,Continuous monitoring of surgical bimanual expertise using deep neural networks in virtual reality simulation,npj Digital Medicine,10.1038/s41746-022-00596-8,35473961,2022-04-26,True,gold,publishedVersion,https://www.nature.com/articles/s41746-022-00596-8.pdf
Chifaou Abdallah; Andreas Koupparis; Jawata Afnan; Jeffrey Alan Hall; Jean Gotman; Francois Dubeau; Nicolas von Ellenrieder; Birgit Frauscher; Eliane Kobayashi; Christophe Grova,Clinical Yield of Electromagnetic Source Imaging and Hemodynamic Responses in Epilepsy: Validation With Intracerebral Data,Neurology,10.1212/WNL.0000000000200337,35473762,2022-04-26,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9231837
Ziv Gan-Or; Lynne Krohn,Rapid eye movement sleep behaviour disorder: Past[comma] present[comma] and future,Journal of Sleep Research,10.1111/jsr.13612,35470494,2022-04-25,True,hybrid,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jsr.13612
Shanna Kousaie; Denise Klein,Age of Acquisition Modulates Alpha Power During Bilingual Speech Comprehension in Noise,Frontiers in Psychology,10.3389/fpsyg.2022.865857,35548507,2022-04-25,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.865857/pdf
Danilo Bzdok,Shared and unique brain network features predict cognitive[comma] personality[comma] and mental health scores in the ABCD study,Nature Communications,10.1038/s41467-022-29766-8,35468875,2022-04-25,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-29766-8.pdf
Recai Yilmaz; Nicole Ledwos; Robin Sawaya; Alexander Winkler-Schwartz; Nykan Mirchi; Vincent Bissonnette; Ali M Fazlollahi; Mohamad Bakhaidar; Ahmad Alsayegh; Rolando Del Maestro,Nondominant Hand Skills Spatial and Psychomotor Analysis During a Complex Virtual Reality Neurosurgical Task—A Case Series Study,Operative Neurosurgery,10.1227/ons.0000000000000232,35726926,2022-04-20,False,closed,none,none
Michael Petrides,Sulci and gyri are topological cerebral landmarks in individual subjects: a study of brain navigation during tumor resection,European Journal of Neuroscience,10.1111/ejn.15668,35441404,2022-04-19,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9321027
Bratislav Mišić,Local structure-function relationships in human brain networks across the lifespan,Nature Communications,10.1038/s41467-022-29770-y,35440659,2022-04-19,True,gold,publishedVersion,https://www.nature.com/articles/s41467-022-29770-y.pdf
Nicolás von Ellenrieder; Laure Peter-Derex; Jean Gotman; Birgit Frauscher,SleepSEEG: Automatic sleep scoring using intracranial EEG recordings only,Journal of Neural Engineering,10.1088/1741-2552/ac6829,35439736,2022-04-19,False,closed,none,none
Hugh J McMillan,Onasemnogene abeparvovec for the treatment of spinal muscular atrophy,Expert Opinion on Biological Therapy,10.1080/14712598.2022.2066471,35437095,2022-04-19,True,hybrid,publishedVersion,https://www.tandfonline.com/doi/pdf/10.1080/14712598.2022.2066471?needAccess=true
Paule-Joanne Toussaint,Microscopy-BIDS: An Extension to the Brain Imaging Data Structure for Microscopy Data,Frontiers in Neuroscience,10.3389/fnins.2022.871228,35516811,2022-04-19,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fnins.2022.871228/pdf
Kaitlyn Easson,Altered resting state functional connectivity in youth with congenital heart disease operated during infancy,PLOS ONE,10.1371/journal.pone.0264781,35427374,2022-04-15,True,gold,publishedVersion,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0264781&type=printable
Angela Genge,Randomized Phase 2 Study of <scp>ACE</scp> ‐083[comma] a <scp>Muscle‐Promoting</scp> Agent[comma] in Facioscapulohumeral Muscular Dystrophy,Muscle &amp; Nerve,10.1002/mus.27558,35428982,2022-04-15,True,hybrid,publishedVersion,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mus.27558
Leonard A Levin,A quantitative approach to the spread of variance in translational research using Monte Carlo simulation,Scientific Reports,10.1038/s41598-022-09921-3,35428790,2022-04-15,True,gold,publishedVersion,https://www.nature.com/articles/s41598-022-09921-3.pdf
Hussein Bdair; Thomas A Singleton; Karen Ross; Dean Jolly; Marius Tuznik; Jean-Paul Soucy; Gassan Massarweh; David A Rudko; Pedro Rosa-Neto; Alexey Kostikov,Radiosynthesis and <i>In Vivo</i> Evaluation of Four Positron Emission Tomography Tracer Candidates for Imaging of Melatonin Receptors,ACS Chemical Neuroscience,10.1021/acschemneuro.1c00678,35420022,2022-04-14,False,closed,none,none
Marco Leyton,Does stimulant drug–induced sensitization occur in primates?,Journal of Psychiatry and Neuroscience,10.1503/jpn.220055,35418507,2022-04-13,True,gold,publishedVersion,https://www.jpn.ca/content/jpn/47/2/E148.full.pdf
Cornelia E Zorca; Armaan Fallahi; Sophie Luo; Mohamed A Eldeeb,Multifaceted targeted protein degradation systems for different cellular compartments,BioEssays,10.1002/bies.202200008,35417040,2022-04-13,False,closed,none,none
Charles P Couturier; Javad Nadaf; Salma Baig; Gabriele Riva; Phuong Le; Andriniaina Nkili Meyong; Redouane Allache; Theresa Degenhard; Mariam Al-Rashid; Marie-Christine Guiot; Kevin Petrecca,Glioblastoma scRNAseq Shows Treatment-induced[comma] Immune-dependent Rise In Mesenchymal Cancer Cells[comma] and Structural Variants in Distal Neural Stem Cells,Neuro-Oncology,10.1093/neuonc/noac085,35416251,2022-04-13,False,closed,none,none
Elizabeth Levitis; Jacob W Vogel; Thomas Funck; Yasser Iturria-Medina; Alan C Evans,Differentiating amyloid beta spread in autosomal dominant and sporadic Alzheimer’s disease,Brain Communications,10.1093/braincomms/fcac085,35602652,2022-04-13,True,gold,publishedVersion,https://academic.oup.com/braincomms/article-pdf/4/3/fcac085/43752424/fcac085.pdf
Kaitlyn Easson; Marie Brossard-Racine,Altered myelination in youth born with congenital heart disease,Human Brain Mapping,10.1002/hbm.25866,35411995,2022-04-12,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9248320
Qiao-Ling Cui; Florian Pernin; Jack Antel; Jo Anne Stratton,Contact-Dependent Granzyme B-Mediated Cytotoxicity of Th17-Polarized Cells Toward Human Oligodendrocytes,Frontiers in Immunology,10.3389/fimmu.2022.850616,35479072,2022-04-11,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fimmu.2022.850616/pdf
J F Bosch-Bayard; J D Lewis; R D Markello; B Misic; L Vasung,Brain charts for the human lifespan,Nature,10.1038/s41586-022-04554-y,35388223,2022-04-06,True,hybrid,publishedVersion,https://www.nature.com/articles/s41586-022-04554-y.pdf
Kristiana Salmon,Predictive genetic testing for Motor neuron disease: time for a guideline?,European Journal of Human Genetics,10.1038/s41431-022-01093-y,35379930,2022-04-05,True,hybrid,publishedVersion,https://www.nature.com/articles/s41431-022-01093-y.pdf
Douglas L Arnold,Long-term efficacy and safety of siponimod in patients with secondary progressive multiple sclerosis: Analysis of EXPAND core and extension data up to &gt;5 years,Multiple Sclerosis Journal,10.1177/13524585221083194,35380078,2022-04-05,True,green,publishedVersion,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9315196
Simon Ducharme,Development of a sensitive trial-ready poly(GP) CSF biomarker assay for <i>C9orf72</i>-associated frontotemporal dementia and amyotrophic lateral sclerosis,Journal of Neurology[comma] Neurosurgery &amp; Psychiatry,10.1136/jnnp-2021-328710,35379698,2022-04-04,True,hybrid,publishedVersion,https://jnnp.bmj.com/content/jnnp/early/2022/04/03/jnnp-2021-328710.full.pdf
Simon Ducharme,Sleep apnea and the risk of dementia: A systematic review and meta‐analysis,Journal of Sleep Research,10.1111/jsr.13589,35366021,2022-04-02,False,closed,none,none
Marco Leyton,Do stimulant medications produce sensitization in humans?,Neuroscience &amp; Biobehavioral Reviews,10.1016/j.neubiorev.2022.104657,35398453,2022-04-01,False,closed,none,none
Xin-Kang Tong; Jessika Royea; Edith Hamel,Simvastatin rescues memory and granule cell maturation through the Wnt/β-catenin signaling pathway in a mouse model of Alzheimer’s disease,Cell Death &amp; Disease,10.1038/s41419-022-04784-y,35397630,2022-04-01,True,gold,publishedVersion,https://www.nature.com/articles/s41419-022-04784-y.pdf
Max Levinson; Sylvain Baillet,Perceptual filling-in dispels the veridicality problem of conscious perception research,Consciousness and Cognition,10.1016/j.concog.2022.103316,35358869,2022-04-01,True,hybrid,publishedVersion,https://doi.org/10.1016/j.concog.2022.103316
Tariq Al-Saadi,Cerebral Venous Sinus Thrombosis in Closed Head Injury: Systematic Review and Meta-analysis,Journal of Clinical Neuroscience,10.1016/j.jocn.2022.01.027,35247707,2022-04-01,False,closed,none,none
Parizad Varghaei; Mehrdad A Estiar; Kheireddin Mufti; Eric Yu; Dan Spiegelman; Guy A Rouleau; Ziv Gan-Or,Genetic[comma] structural and clinical analysis of spastic paraplegia 4,Parkinsonism &amp; Related Disorders,10.1016/j.parkreldis.2022.03.019,35487127,2022-04-01,True,green,submittedVersion,https://doi.org/10.1101/2021.07.20.21259482
Giulia Baracchini,Reduced modulation of BOLD variability as a function of cognitive load in healthy aging,Neurobiology of Aging,10.1016/j.neurobiolaging.2022.01.010,35240490,2022-04-01,False,closed,none,none
M Dadar; Y Zeighami; J Maranzano,The PaleoArchiNeo (PAN) human brain atlas: A dataset on a standard neuroanatomical MRI template following a phylogenetic approach,Data in Brief,10.1016/j.dib.2022.107863,35169599,2022-04-01,True,gold,publishedVersion,https://doi.org/10.1016/j.dib.2022.107863
Marc-André Bedard,Cholinergic system changes in Parkinson's disease: emerging therapeutic approaches,The Lancet Neurology,10.1016/S1474-4422(21)00377-X,35131038,2022-04-01,True,green,submittedVersion,https://discovery.ucl.ac.uk/10147740/1/Weil_Cholinergic%20system%20changes%20in%20Parkinson_PlainText_clean.pdf
Allison A Dilliott; Guy A Rouleau; Sali M K Farhan,Lack of association of TP73 with amyotrophic lateral sclerosis in a large cohort of cases,Neurobiology of Aging,10.1016/j.neurobiolaging.2022.04.004,35512496,2022-04-01,False,closed,none,none
Kevin Petrecca; Marie-Christine Guiot,Spatially mapping the immune landscape of melanoma using imaging mass cytometry,Science Immunology,10.1126/sciimmunol.abi5072,35363543,2022-04-01,False,closed,none,none
Scott Owen; Jad Alshami; Marie-Christine Guiot; Petr Kavan; Thierry Muanza,Genomic Analysis of Tumors from Patients with Glioblastoma with Long-Term Response to Afatinib,OncoTargets and Therapy,10.2147/OTT.S346725,35422631,2022-04-01,True,gold,publishedVersion,https://www.dovepress.com/getfile.php?fileID=79791
Douglas L Arnold,Prognostic Value of Serum Neurofilament Light Chain for Disease Activity and Worsening in Patients With Relapsing Multiple Sclerosis: Results From the Phase 3 ASCLEPIOS I and II Trials,Frontiers in Immunology,10.3389/fimmu.2022.852563,35432382,2022-03-31,True,gold,publishedVersion,https://www.frontiersin.org/articles/10.3389/fimmu.2022.852563/pdf
Gloria Castaneda; Ana Lucia Fernandez Cruz; Marcus Sefranek; Yvonne H C Yau; Lesley K Fellows,Does effort-cost decision-making relate to real-world motivation in people living with HIV?,Journal of Clinical and Experimental Neuropsychology,10.1080/13803395.2022.2058464,35356846,2022-03-31,False,closed,none,none
Maria delPilar Cortes Nino,Catheter-guided multilevel epidural blood patches in an adolescent boy,Regional Anesthesia &amp; Pain Medicine,10.1136/rapm-2022-103487,35361696,2022-03-31,False,closed,none,none
Christophe Lenglos; Sue-Jin Lin; Yashar Zeighami; Tobias R Baumeister; Yasser Iturria-Medina,Multivariate genomic and transcriptomic determinants of imaging-derived personalized therapeutic needs in Parkinson’s disease,Scientific Reports,10.1038/s41598-022-09506-0,35361840,2022-03-31,True,gold,publishedVersion,https://www.nature.com/articles/s41598-022-09506-0.pdf
Calwing Liao; Veikko Vuokila; Hélène Catoire; Fulya Akçimen; Jay P Ross; Cynthia V Bourassa; Patrick A Dion; Guy A Rouleau,Transcriptome-wide association study reveals increased neuronal FLT3 expression is associated with Tourette’s syndrome,Communications Biology,10.1038/s42003-022-03231-0,35354918,2022-03-30,True,gold,publishedVersion,https://www.nature.com/articles/s42003-022-03231-0.pdf
